name,pronunciation,names,persianName,englishName,numAyat,revelationPlace,revelationOrder,revelationOrder2
الفَاتِحَة,al-Fātiḥah,الفاتحة|أم الكتاب|أم القرآن|السبع المثاني|الحمد|الشفاء,حمد,The Opening,7,مَكيَّة,5,5
البَقَرَة,al-Baqarah,البقرة,بقره,The Cow,286,مَدنيَّة,87,87
آل عِمرَان,Āl ‘Imrān,آل عمران,آل عمران,The Family of Imran,200,مَدنيَّة,89,89
النِّسَاء,al-Nisā’,النساء,نساء,Women,176,مَدنيَّة,92,92
المَائدة,al-Mā’idah,المائدة,مائده,The Table,120,مَدنيَّة,113,112
الأنعَام,al-An‘ām,الأنعام,انعام,Cattle,165,مَكيَّة,55,55
الأعرَاف,al-A‘rāf,الأعراف,اعراف,The Elevations,206,مَكيَّة,39,39
الأنفَال,al-Anfāl,الأنفال,انفال,The Spoils,75,مَدنيَّة,88,88
التوبَة,al-Tawbah,التوبة|براءة,توبه,Repentance,129,مَدنيَّة,114,113
يُونس,Yūnus,يونس,یونس,Jonah,109,مَكيَّة,51,51
هُود,Hūd,هود,هود,Hud,123,مَكيَّة,52,52
يُوسُف,Yūsuf,يوسف,یوسف,Joseph,111,مَكيَّة,53,53
الرَّعْد,al-Ra‘d,الرعد,رعد,Thunder,43,مَدنيَّة,96,96
إبراهِيم,Ibrāhīm,ابراهيم,ابراهیم,Abraham,52,مَكيَّة,72,72
الحِجْر,al-Ḥijr,الحجر,حجر,Hijr,99,مَكيَّة,54,54
النَّحْل,al-Naḥl,النحل,نحل,The Bee,128,مَكيَّة,70,70
الإسْرَاء,al-Isrā’,الإسراء|بَنِي إِسرائيل,اسراء,The Night Journey,111,مَكيَّة,50,50
الكهْف,al-Kahf,الكهف,کهف,The Cave,110,مَكيَّة,69,69
مَريَم,Maryam,مريم,مریم,Mary,98,مَكيَّة,44,44
طه,Ṭā Ḥā,طه,طه,Ta Ha,135,مَكيَّة,45,45
الأنبيَاء,al-Anbiyā’,الأنبياء,انبیاء,The Prophets,112,مَكيَّة,73,73
الحَج,al-Ḥajj,الحج,حج,The Pilgrimage,78,مَدنيَّة,104,103
المُؤمنون,al-Mu’minūn,المؤمنون,مؤمنون,The Faithful,118,مَكيَّة,74,74
النُّور,al-Nūr,النور,نور,The Light,64,مَدنيَّة,103,102
الفُرْقان,al-Furqān,الفرقان,فرقان,The Criterion,77,مَكيَّة,42,42
الشُّعَرَاء,al-Shu‘arā’,الشعراء,شعراء,The Poets,227,مَكيَّة,47,47
النَّمْل,al-Naml,النمل,نمل,The Ants,93,مَكيَّة,48,48
القَصَص,al-Qaṣaṣ,القصص,قصص,The Story,88,مَكيَّة,49,49
العَنكبوت,al-‘Ankabūt,العنكبوت,عنکبوت,The Spider,69,مَكيَّة,85,85
الرُّوم,al-Rūm,الروم,روم,The Byzantines,60,مَكيَّة,84,84
لقمَان,Luqmān,لقمان,لقمان,Luqman,34,مَكيَّة,57,57
